


sterlicht.nl: 2014-11-05 02:01:47 [initialization] application restarted
sterlicht.nl: 2014-11-05 02:01:47 [initialization] table users already exists
sterlicht.nl: 2014-11-05 02:01:47 [access] ip: 207.46.13.55, browser --> www.sterlicht.nl/slAb043_mars_rovers.html
sterlicht.nl: 2014-11-05 02:24:42 [access] ip: 157.55.39.230, browser --> www.sterlicht.nl/astroblogs/slAb053_van_brillenglas_tot_apertuur_synthese.html
sterlicht.nl: 2014-11-05 02:28:29 [access] ip: 66.249.78.36, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-05 02:32:11 [access] ip: 157.55.39.231, browser --> www.sterlicht.nl/astroblogs/slAb010_oude_reuzen.html
sterlicht.nl: 2014-11-05 02:58:20 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb007_pegasus.html
sterlicht.nl: 2014-11-05 04:10:06 [access] ip: 66.249.78.29, browser --> www.sterlicht.nl/astroblogs/slAb050_magelhaense_wolken.html
sterlicht.nl: 2014-11-05 04:35:16 [access] ip: 157.55.39.128, browser --> www.sterlicht.nl/astroblogs/slAb057_basisbegrippen.html
sterlicht.nl: 2014-11-05 05:05:57 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-05 05:06:07 [access] ip: 157.55.39.55, browser --> www.sterlicht.nl/slAb048_jwst.html
sterlicht.nl: 2014-11-05 06:11:58 [access] ip: 66.249.78.29, browser --> www.sterlicht.nl/astroblogs/slAb055_venus_klein.html
sterlicht.nl: 2014-11-05 06:17:00 [access] ip: 84.104.138.110, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-05 06:51:54 [access] ip: 66.249.78.22, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-05 07:50:52 [access] ip: 66.249.78.22, browser --> www.sterlicht.nl/astroblogs/slAb007_pegasus.html
sterlicht.nl: 2014-11-05 08:06:01 [access] ip: 207.46.13.93, browser --> www.sterlicht.nl/slAb007_pegasus.html
sterlicht.nl: 2014-11-05 08:11:12 [access] ip: 66.249.78.29, browser --> www.sterlicht.nl/astroblogs/slAb065_m33_wintersport.html
sterlicht.nl: 2014-11-05 08:47:42 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb050_magelhaense_wolken.html
sterlicht.nl: 2014-11-05 09:34:04 [access] ip: 66.249.78.22, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-05 09:35:45 [access] ip: 157.55.39.55, browser --> www.sterlicht.nl/slAb044_mars_rec_orb.html
sterlicht.nl: 2014-11-05 09:35:49 [access] ip: 207.46.13.55, browser --> www.sterlicht.nl/slAb021_m81m82.html
sterlicht.nl: 2014-11-05 10:05:42 [access] ip: 207.46.13.55, browser --> www.sterlicht.nl/astroblogs/slAb025_m48.html
sterlicht.nl: 2014-11-05 10:10:50 [access] ip: 88.198.16.153, browser --> www.sterlicht.nl/astroblogs.html
sterlicht.nl: 2014-11-05 10:10:51 [access] ip: 88.198.16.153, browser --> www.sterlicht.nl/astroblogs/slAb007_pegasus.html
